ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes
769372,101,N,7,37,44000.0,6.5,7.848,34.10148,-118.316373,0.42,ML,4
769373,101,S,7,37,44000.0,6.5,7.848,34.101382,-118.316558,0.315,ML,4
769388,101,S,7,37,44000.0,7.7,9.048,34.110032000000004,-118.33411399999999,0.42,ML,4
769389,101,N,7,37,44000.0,7.7,9.048,34.110196,-118.33396100000002,0.45,ML,4
769402,101,N,7,37,44000.0,8.6,9.948,34.121951,-118.34017,0.395,ML,6
769403,101,S,7,37,44000.0,8.6,9.948,34.121802,-118.340349,0.395,ML,4
769405,101,S,7,37,44000.0,8.9,10.248,34.125019,-118.34385800000001,0.355,ML,5
769418,101,N,7,37,44000.0,8.9,10.248,34.125161999999996,-118.343673,0.305,ML,5
769430,101,S,7,37,44000.0,16.4,17.717,34.158235999999995,-118.456755,0.445,ML,6
769431,101,N,7,37,44000.0,16.4,17.776,34.158459,-118.45666399999999,0.565,ML,6
769443,101,N,7,37,44000.0,15.3,16.676,34.155751,-118.438222,0.505,ML,5
769444,101,S,7,37,44000.0,15.3,16.617,34.155559000000004,-118.43828799999999,0.555,ML,5
769454,60,W,7,37,36490.0,12.708,12.849,34.029244,-118.01127199999999,0.385,ML,5
769467,101,N,7,37,44000.0,12.9,14.276,34.154537,-118.39714199999999,0.76,ML,5
769496,405,N,7,37,17568.0,26,49.772,33.988490000000006,-118.39953700000001,0.37,ML,4
769513,605,N,7,37,52526.0,R9.3,11.352,33.936927000000004,-118.09875100000001,0.625,ML,3
769625,5,N,7,37,52526.0,3.28,119.913,33.900806,-118.05928200000001,0.46,ML,3
769701,210,E,7,37,19990.0,R35.8,36.089,34.135426,-117.96798700000001,0.485,ML,4
769702,210,W,7,37,19990.0,R35.8,36.089,34.13568,-117.967942,0.44,ML,4
769722,210,W,7,37,19990.0,R36,36.289,34.135684999999995,-117.964445,0.25,ML,4
769744,210,W,7,37,30014.0,R43.9,44.18899999999999,34.121013,-117.834452,0.5,ML,4
769758,210,E,7,37,30014.0,R44.6,44.888999999999996,34.120306,-117.82231100000001,0.25,ML,4
769772,210,E,7,37,36826.0,R36.6,36.889,34.133396999999995,-117.954412,0.385,ML,4
769788,210,E,7,37,39003.0,R21.6,21.58,34.189219,-118.180753,0.81,ML,4
769806,210,E,7,37,39003.0,R21,20.98,34.196934000000006,-118.185042,0.59,ML,4
769807,210,W,7,37,39003.0,R21,20.98,34.197068,-118.184827,0.495,ML,4
769819,210,E,7,37,39003.0,R20,19.98,34.205892,-118.19823400000001,0.31,ML,4
769831,210,E,7,37,39003.0,R19.8,19.78,34.206745,-118.20153300000001,0.45,ML,4
769847,210,E,7,37,,R18.2,18.18,34.211728,-118.228265,0.85,ML,4
769866,210,E,7,37,,R17.4,17.38,34.218398,-118.23973799999999,0.6,ML,4
769867,210,W,7,37,,R17.4,17.38,34.218652,-118.239558,0.65,ML,4
769880,210,E,7,37,,R17,16.98,34.221426,-118.245718,0.85,ML,4
769895,210,E,7,37,30000.0,R15.7,15.68,34.230849,-118.265101,1.295,ML,4
769911,210,W,7,37,30000.0,R16.6,16.58,34.224897,-118.25134399999999,1.05,ML,5
769926,210,W,7,37,,R17.9,17.88,34.214462,-118.23244299999999,0.47,ML,6
769941,210,W,7,37,39003.0,R19.6,19.58,34.207101,-118.204943,0.35,ML,4
769953,210,W,7,37,39003.0,R19.8,19.78,34.206998,-118.20144099999999,0.41,ML,4
769965,210,W,7,37,44000.0,R15.3,15.28,34.232554,-118.271772,1.2,ML,4
769983,210,W,7,37,39003.0,R20.42,20.4,34.203185999999995,-118.191671,0.6,ML,4
769984,210,E,7,37,39003.0,R20.42,20.4,34.202989,-118.191827,0.5,ML,4
770000,210,W,7,37,39003.0,R21.41,21.39,34.19198,-118.18121399999998,0.66,ML,4
770012,210,E,7,37,44000.0,R3.4,3.4,34.315197999999995,-118.43843999999999,0.725,ML,3
770024,210,E,7,37,44000.0,R4.2,4.2,34.307175,-118.428329,0.85,ML,3
770036,210,E,7,37,44000.0,R5.1,5.1,34.297523,-118.41771999999999,0.655,ML,3
770048,210,E,7,37,44000.0,R6.2,6.2,34.285556,-118.405022,0.495,ML,3
770061,210,E,7,37,44000.0,R8,8.0,34.274359999999994,-118.37803999999998,0.705,ML,4
770076,210,E,7,37,44000.0,R9.5,9.5,34.271968,-118.35197099999999,1.2,ML,4
770089,210,E,7,37,44000.0,R11,11.0,34.2608,-118.33100900000001,0.9,ML,4
770103,210,E,7,37,44000.0,R11.3,11.3,34.257404,-118.32776399999999,1.695,ML,4
770116,210,E,7,37,44000.0,R14.41,14.39,34.234317,-118.286992,2.19,ML,4
770129,210,W,7,37,44000.0,R14.2,14.18,34.234984000000004,-118.29056200000001,0.65,ML,4
770141,210,W,7,37,44000.0,R14,13.98,34.234987,-118.294031,1.54,ML,4
770187,210,W,7,37,44000.0,R11.1,11.1,34.259795000000004,-118.32971299999998,1.54,ML,4
770200,210,W,7,37,44000.0,R10.9,10.9,34.262037,-118.33192199999999,0.9,ML,4
770215,210,W,7,37,44000.0,R3.1,3.1,34.31834,-118.44208799999998,0.375,ML,3
770229,210,W,7,37,44000.0,R3.5,3.5,34.314344,-118.436994,0.8,ML,3
770243,210,W,7,37,44000.0,R4.7,4.7,34.302019,-118.42216599999999,1.005,ML,3
770259,210,W,7,37,44000.0,R5.92,5.92,34.288740999999995,-118.40808600000001,0.495,ML,3
770275,210,W,7,37,44000.0,R7.73,7.73,34.275519,-118.38253999999999,0.705,ML,4
770290,210,W,7,37,44000.0,R9.3,9.3,34.272608,-118.355391,1.15,ML,4
770303,210,W,7,37,44000.0,R1.75,1.75,34.323885,-118.463369,0.975,ML,3
770315,210,W,7,37,44000.0,R.8,0.8,34.32289,-118.479923,0.715,ML,3
770331,210,E,7,37,44000.0,R6.5,6.5,34.282287,-118.401572,0.495,ML,3
770332,210,W,7,37,44000.0,R6.5,6.5,34.282467,-118.401379,0.635,ML,4
770353,210,W,7,37,44000.0,R5.51,5.51,34.293217,-118.41276699999999,0.61,ML,3
770354,210,E,7,37,44000.0,R5.51,5.51,34.293046999999994,-118.412995,0.55,ML,3
770385,210,E,7,37,39003.0,R19.1,19.08,34.206925,-118.21372,0.8,ML,4
770386,210,W,7,37,39003.0,R19.1,19.08,34.207155,-118.2137,0.63,ML,4
770401,210,W,7,37,,R18.34,18.32,34.211095,-118.225948,0.6,ML,4
770544,210,E,7,37,44000.0,R7.19,7.19,34.277404,-118.391732,0.75,ML,4
770545,210,W,7,37,44000.0,R7.19,7.19,34.277612,-118.39157900000001,0.615,ML,4
770555,210,W,7,37,44000.0,R8.6,8.6,34.273773,-118.36753799999998,0.785,ML,4
770556,210,E,7,37,44000.0,R8.6,8.6,34.273581,-118.36758700000001,0.75,ML,4
770568,210,W,7,37,56000.0,R23.81,23.79,34.165953,-118.15794299999999,0.45,ML,4
770579,210,W,7,37,56000.0,R24.462,24.441999999999997,34.156597,-118.157944,0.5,ML,4
770587,210,E,7,37,44000.0,R2.75,2.75,34.321653000000005,-118.446679,0.65,ML,3
770588,210,W,7,37,44000.0,R2.75,2.75,34.321808000000004,-118.44654299999999,0.675,ML,3
770598,210,W,7,37,44000.0,R.32,0.32,34.318013,-118.486171,0.56,ML,3
770599,210,E,7,37,44000.0,R.32,0.32,34.31759,-118.486117,0.66,ML,4
770610,101,S,7,37,90310.0,28.42,29.752,34.152479,-118.654183,0.15,ML,4
770611,101,N,7,37,90310.0,28.42,29.779,34.152719,-118.65432,1.33,ML,4
771253,23,N,7,111,78582.0,R3.92,12.523,34.179522,-118.86008000000001,2.65,ML,4
771254,23,S,7,111,78582.0,R3.92,12.523,34.178342,-118.86083300000001,2.65,ML,4
771268,23,N,7,111,78582.0,R5.05,13.652999999999999,34.196191,-118.859225,0.515,ML,3
771285,23,N,7,111,78582.0,R5.25,13.853,34.198898,-118.85748500000001,0.28,ML,3
771294,23,N,7,111,78582.0,R5.61,14.213,34.203343,-118.85368000000001,0.385,ML,3
771295,23,S,7,111,78582.0,R5.61,14.213,34.202778,-118.85498,0.39,ML,3
771306,23,N,7,111,78582.0,R6.02,14.623,34.208327000000004,-118.849291,0.305,ML,3
771318,23,N,7,111,78582.0,R6.22,14.823,34.211348,-118.84886000000002,0.225,ML,3
771329,23,N,7,111,78582.0,R7.13,15.732999999999999,34.225045,-118.847994,0.45,ML,3
771340,23,N,7,111,78582.0,R7.37,15.972999999999999,34.228473,-118.846374,0.585,ML,3
771349,23,N,7,111,78582.0,R6.47,15.073,34.215167,-118.84926899999999,0.455,ML,3
771350,23,S,7,111,78582.0,R6.47,15.073,34.214377,-118.849594,0.48,ML,3
771360,23,N,7,111,78582.0,R8.3,16.903,34.241576,-118.839735,0.57,ML,3
771371,23,N,7,111,78582.0,R8.51,17.113,34.244752000000005,-118.839479,0.35,ML,3
771385,23,S,7,111,78582.0,R9,17.602999999999998,34.251851,-118.84028799999999,0.645,ML,3
771386,23,N,7,111,78582.0,R9,17.602999999999998,34.252263,-118.83988899999999,0.495,ML,3
771396,23,N,7,111,78582.0,R9.5,18.102999999999998,34.259271000000005,-118.84294399999999,0.56,ML,3
771400,23,S,7,111,78582.0,R9.5,18.102999999999998,34.258973,-118.843185,0.46,ML,3
771410,23,N,7,111,78582.0,R10.12,18.723,34.266273,-118.85061100000001,0.33,ML,3
